Source,Target,Type,Id,Label,timeset,Weight
1,41,Undirected,1750,,"<[2020.0, 2025.0]>",1
1,42,Undirected,1751,,"<[2020.0, 2025.0]>",1
2,3,Undirected,1752,,"<[2020.0, 2025.0]>",1
2,6,Undirected,1753,,"<[2020.0, 2025.0]>",1
2,7,Undirected,1754,,"<[2020.0, 2025.0]>",1
2,8,Undirected,1755,,"<[2020.0, 2025.0]>",1
2,10,Undirected,1756,,"<[2020.0, 2025.0]>",1
2,12,Undirected,1757,,"<[2020.0, 2025.0]>",1
2,14,Undirected,1758,,"<[2020.0, 2025.0]>",1
2,15,Undirected,1759,,"<[2020.0, 2025.0]>",1
2,19,Undirected,1761,,"<[2020.0, 2025.0]>",1
2,25,Undirected,1763,,"<[2020.0, 2025.0]>",1
2,26,Undirected,1764,,"<[2020.0, 2025.0]>",1
2,29,Undirected,1765,,"<[2020.0, 2025.0]>",1
2,34,Undirected,1767,,"<[2020.0, 2025.0]>",1
2,35,Undirected,1768,,"<[2020.0, 2025.0]>",1
2,39,Undirected,1769,,"<[2020.0, 2025.0]>",1
2,41,Undirected,1770,,"<[2020.0, 2025.0]>",1
2,46,Undirected,1771,,"<[2020.0, 2025.0]>",1
2,42,Undirected,1772,,"<[2020.0, 2025.0]>",1
3,5,Undirected,1773,,"<[2020.0, 2025.0]>",1
3,7,Undirected,1775,,"<[2020.0, 2025.0]>",1
3,8,Undirected,1776,,"<[2020.0, 2025.0]>",1
3,9,Undirected,1777,,"<[2020.0, 2025.0]>",1
3,10,Undirected,1778,,"<[2020.0, 2025.0]>",1
3,12,Undirected,1779,,"<[2020.0, 2025.0]>",1
3,14,Undirected,1780,,"<[2020.0, 2025.0]>",1
3,15,Undirected,1781,,"<[2020.0, 2025.0]>",1
3,19,Undirected,1784,,"<[2020.0, 2025.0]>",1
3,20,Undirected,1785,,"<[2020.0, 2025.0]>",1
3,22,Undirected,1786,,"<[2020.0, 2025.0]>",1
3,26,Undirected,1788,,"<[2020.0, 2025.0]>",1
3,27,Undirected,1789,,"<[2020.0, 2025.0]>",1
3,29,Undirected,1791,,"<[2020.0, 2025.0]>",1
3,32,Undirected,1792,,"<[2020.0, 2025.0]>",1
3,33,Undirected,1793,,"<[2020.0, 2025.0]>",1
3,34,Undirected,1794,,"<[2020.0, 2025.0]>",1
3,35,Undirected,1795,,"<[2020.0, 2025.0]>",1
3,39,Undirected,1797,,"<[2020.0, 2025.0]>",1
5,9,Undirected,1801,,"<[2020.0, 2025.0]>",1
