1,Responsible,Ref_pubyr,Class,Order,Data_enterer,Type_locality,Type_country,Affiliations,Countries,Language
UA_744,Juan,2012,Reptilia,Squamata,Juan,,Ukraine,Shevchenko Lugansk National University; St. Petersburg State University,Ukraine; Russia,English
UA_965,Pavlo,2012,Reptilia,Testudines,,,Ukraine,Taras Shevchenko National University of Luhansk; T.G. Shevchenko Kyiv National University,Ukraine,Russian
UA_1690,Leonid,2012,Reptilia,,Leonid,,Ukraine,Institute of Geology (Ukraine): NMNHU,Ukraine,Russian
UA_178,Viktor,2012,Mammalia,Rodentia,Baranov,,"USSR (then), Ukraine",National Museum of Natural History at the National Academy of Sciences of Ukraine,Ukraine,Ukrainian
UA_1688,Leonid,2013,Aves,,Leonid,,Ukraine,"Senckenberg Research Institute and Natural History Museum Frankfurt, Frankfurt am Main, Germany: NMNHU",Germany; Ukraine,English
UA_1680,Leonid,2013,Aves,,Leonid,,Ukraine,NMNHU,Ukraine,English
UA_1689,Leonid,2013,Aves,,Leonid,,Ukraine,"NMNHU, National Taras Shevchenko University of Kyiv",Ukraine,Russian
UA_486,Viktor,2013,Mammalia,Artiodactyla,Baranov,,Ukraine,"Azov State Museum, Russia; Institute of Arid zones of Southern Scientific Centre RAS; Geological Institute RAS",Russia,English
UA_1698,Oleksandr,2014,Actinopterygii,Cypriniformes,Oleksandr,,Ukraine,NMNHU,Ukraine,Russian
UA_1703,Oleksandr,2014,Actinopterygii,Cypriniformes,Oleksandr,,Ukraine,NMNHU,Ukraine,Ukrainian
UA_1701,Oleksandr,2014,Actinopterygii,Cypriniformes; Salmoniformes; Esociformes; Perciformes,Oleksandr,,Ukraine,NMNHU,Ukraine,Russian
UA_1705,Oleksandr,2014,Actinopterygii,Cypriniformes; Siluriformes; Esociformes; Perciformes; Gobiiformes,Oleksandr,,Ukraine,NMNHU; Luhansk National University,Ukraine,Russian
UA_1700,Oleksandr,2014,Actinopterygii,Cypriniformes; Siluriformes; Salmoniformes; Esociformes; Perciformes,Oleksandr,,Ukraine,NMNHU,Ukraine,English
UA_1675,Juan,2014,Mammalia,Artiodactyla,Juan,,Ukraine,"Institute of Geological Sciences, Polish Academy of Sciences;  Geographical Faculty, Chernivtsi Yuriy Fedkovych National University;  Ukrainian Institute of Speleology and Karstology; University of Wrocï¿½",Poland; Ukraine,English
UA_1702,Oleksandr,2014,Mammalia,Cetacea,Oleksandr,,Ukraine,Taurida National University; Institute of Geological Sciences NAS of Ukraine; Wrocï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Ukraine; Poland,English
UA_1699,Oleksandr,2014,Var Vertebrata,Cypriniformes; Siluriformes; Esociformes; Perciformes; Lagomorpha; Rodentia,Oleksandr,,Ukraine,NMNHU,Ukraine; Czechia; Poland,English
UA_1704,Oleksandr,2014,Var Vertebrata,,Oleksandr,,Ukraine,Wroclaw University of Environmental and Life Sciences; NMNHU; Nizhyn State University,Poland; Ukraine,Ukrainian
UA_1682,Leonid,2015,Aves,,Leonid,,Ukraine (after Russian occupation of Crimea Peninsula in 2014),,Ukraine; Germany,English
UA_1676,Juan,2015,Mammalia,Rodentia; Lagomorpha,Juan,,Ukraine (after Russian occupation of Crimea Peninsula in 2014),National Taras Shevchenko University of Kyiv,Ukraine,English
UA_1681,Leonid,2016,Aves,,Leonid,,Ukraine (after Russian occupation of Crimea Peninsula in 2014),,Russia; Ukraine,English
UA_1683,Leonid,2016,Aves,,Leonid,,Ukraine (after Russian occupation of Crimea Peninsula in 2014),NMNHU,Ukraine,English
UA_1684,Leonid,2016,Aves,,Leonid,,Ukraine (after Russian occupation of Crimea Peninsula in 2014),NMNHU,Ukraine,Ukrainian
UA_1686,Leonid,2017,Aves,,Leonid,,Ukraine (after Russian occupation of Crimea Peninsula in 2014),NMNHU,Ukraine,Ukrainian
UA_1685,Leonid,2017,Var Vertebrata,,Leonid,,Ukraine (after Russian occupation of Crimea Peninsula in 2014),"NMNHU; Paleontological Institute, Russian Academy of Sciences:",Ukraine; Russia,English
UA_1687,Leonid,2019,Aves,,Leonid,,Ukraine (after Russian occupation of Crimea Peninsula in 2014),"Institute of Systematics and Evolution of Animals, Polish Academy of Sciences; NMNHU",Poland; Ukraine,English
UA_1697,Leonid,2019,Aves,,Leonid,,Ukraine (after Russian occupation of Crimea Peninsula in 2014),"Paleontological Institute, Russian Academy of Sciences: V.I. Vernadsky Taurida National University",Russia,English
UA_1696,Leonid,2019,Var Vertebrata,,Leonid,,Ukraine (after Russian occupation of Crimea Peninsula in 2014),"Paleontological Institute, Russian Academy of Sciences: V.I. Vernadsky Taurida National University",Russia,Russian
UA_1671,Juan,2019,"Mollusca (not a class but a phyllum), Mammalia",Rodentia; Artiodactyla;  Perissodactyla; Proboscidea; Carnivora; Primates,Juan,,"Ukraine (Russian annexiation of Crimea Peninsula in 2014). Also it is a review from different papers, some are from 1948",There are more than XX authors. How many affiliations do I have to write down,Netherlands; Russia; United Kingdom; Spain; Turkey; Azerbaijan; Germany; Georgia; Australia; Romania,English
UA_1672,Juan,2020,Aves,Struthioniformes,Juan,,Ukraine (after Russian occupation of Crimea Peninsula in 2014),"Borissiak Paleontological Institute, Russian Academy of Science",Russia,English
UA_1692,Leonid,2020,Aves,,Leonid,,Ukraine (after Russian occupation of Crimea Peninsula in 2014),"Paleontological Institute, Russian Academy of Sciences: NMNHU",Russia; Ukraine,English
UA_1674,Juan,2021,Mammalia ,Primates,Juan,,Ukraine (after Russian occupation of Crimea Peninsula in 2014),"Oxford Radiocarbon Accelerator Unit; Syft Technologies Ltd; Institute of Archaeology, National Academy of Sciences of Ukraine; Institute for Pre- and Protohistory, Friedrich-Alexander-Universitat Erlangen-Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",United Kingdom; New Zealand; Ukraine; Germany,English
